season,guild,rank_estimado,player,season_points_estimado_total,percentual_dos_pontos_visiveis,season_est_Guild Challenge,season_est_PvE Outlands/Roads,season_est_Gathering Outlands/Roads,season_est_The Depths,season_est_Outlands Treasures,season_est_Smugglers,season_est_Crystal Creatures,season_est_Corrupted Dungeons,season_est_Hideout Power Cores,season_est_Hellgates,season_est_Castles & Outposts,raw_Guild Challenge,raw_PvE Outlands/Roads,raw_Gathering Outlands/Roads,raw_The Depths,raw_Outlands Treasures,raw_Smugglers,raw_Crystal Creatures,raw_Corrupted Dungeons,raw_Hideout Power Cores,raw_Hellgates,raw_Castles & Outposts
32,NoTag,11,imdonedontkillme,1524.3,3.8316,476.86,412.2,0.0,461.07,0.0,0.0,0.0,0.0,138.41,26.07,9.69,5629418,1071709,0,33957,0,0,0,0,139728,3073,10790
32,NoTag,12,bruacaobama,1464.27,3.6807,446.72,481.31,272.94,0.0,240.26,0.0,0.0,23.03,0.0,0.0,0.0,5273652,1251399,66392,0,158293,0,0,1603,0,0,0
32,NoTag,13,Kotoe,1307.75,3.2873,213.24,0.0,0.0,848.8,0.0,0.0,148.5,30.7,0.0,66.5,0.0,2517399,0,0,62513,0,0,29999,2137,0,7838,0
32,NoTag,14,jordansPt,1141.18,2.8686,201.07,0.0,231.39,0.0,255.99,452.73,0.0,0.0,0.0,0.0,0.0,2373628,0,56283,0,168655,561661,0,0,0,0,0
32,NoTag,15,dsn,845.19,2.1245,209.52,0.0,0.0,0.0,0.0,0.0,382.32,0.0,253.36,0.0,0.0,2473398,0,0,0,0,0,77236,0,255770,0,0
32,NoTag,16,Lusitano,806.16,2.0264,311.12,402.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.09,0.0,3672832,1047670,0,0,0,0,0,0,0,10853,0
32,NoTag,17,SuSex,711.27,1.7879,133.02,0.0,0.0,398.81,0.0,0.0,0.0,179.44,0.0,0.0,0.0,1570289,0,0,29372,0,0,0,12489,0,0,0
32,NoTag,18,Nagacaburos,684.14,1.7197,220.6,0.0,326.85,0.0,136.69,0.0,0.0,0.0,0.0,0.0,0.0,2604208,0,79504,0,90057,0,0,0,0,0,0
32,NoTag,19,Superpk,560.08,1.4079,199.49,0.0,360.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2355027,0,87710,0,0,0,0,0,0,0,0
32,NoTag,20,MaxHardcore,558.14,1.403,62.15,0.0,0.0,0.0,0.0,168.81,0.0,0.0,322.31,0.0,4.87,733698,0,0,0,0,209426,0,0,325375,0,5426
32,NoTag,21,tMINUSCULO,532.91,1.3396,97.52,0.0,0.0,0.0,187.47,214.43,0.0,0.0,0.0,33.51,0.0,1151188,0,0,0,123508,266017,0,0,0,3949,0
32,NoTag,22,Groom84,522.21,1.3127,278.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.06,0.0,0.0,3283604,0,0,0,0,0,0,0,246383,0,0
32,NoTag,23,FELP22BR,481.9,1.2113,155.1,0.0,0.0,0.0,0.0,0.0,186.72,0.0,140.08,0.0,0.0,1830982,0,0,0,0,0,37721,0,141414,0,0
32,NoTag,24,Srurek,457.69,1.1505,115.62,0.0,0.0,165.47,0.0,176.59,0.0,0.0,0.0,0.0,0.0,1364976,0,0,12187,0,219075,0,0,0,0,0
32,NoTag,25,MonetaryMike,451.63,1.1353,122.74,0.0,0.0,0.0,133.06,0.0,0.0,58.22,137.62,0.0,0.0,1448916,0,0,0,87663,0,0,4052,138933,0,0
32,NoTag,26,kingjolas,399.32,1.0038,178.52,0.0,0.0,220.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107516,0,0,16261,0,0,0,0,0,0,0
32,NoTag,27,Madruguinha,394.69,0.9921,174.55,0.0,0.0,0.0,0.0,187.2,0.0,32.95,0.0,0.0,0.0,2060552,0,0,0,0,232241,0,2293,0,0,0
32,NoTag,28,avven1996,372.88,0.9373,372.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4401909,0,0,0,0,0,0,0,0,0,0
32,NoTag,29,MARIOMALAN,371.49,0.9338,87.78,0.0,283.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036224,0,69012,0,0,0,0,0,0,0,0
32,NoTag,30,goncalves23,369.6,0.9291,158.24,0.0,0.0,0.0,0.0,0.0,211.36,0.0,0.0,0.0,0.0,1868107,0,0,0,0,0,42698,0,0,0,0
32,NoTag,31,tistaoo,331.95,0.8344,107.54,0.0,224.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269576,0,54585,0,0,0,0,0,0,0,0
32,NoTag,32,plimaa,313.16,0.7872,53.96,0.0,0.0,259.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637025,0,0,19090,0,0,0,0,0,0,0
32,NoTag,33,Merus,309.69,0.7785,47.87,0.0,256.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,565158,0,62352,0,0,0,0,0,0,0,6105
32,NoTag,34,Jhoniybravo,294.19,0.7395,149.73,0.0,0.0,0.0,0.0,144.46,0.0,0.0,0.0,0.0,0.0,1767640,0,0,0,0,179218,0,0,0,0,0
32,NoTag,35,rdhking,286.3,0.7197,110.23,0.0,0.0,0.0,176.07,0.0,0.0,0.0,0.0,0.0,0.0,1301267,0,0,0,116001,0,0,0,0,0,0
32,NoTag,36,SerpentVeil,246.85,0.6205,72.43,0.0,0.0,0.0,0.0,0.0,174.41,0.0,0.0,0.0,0.0,855088,0,0,0,0,0,35235,0,0,0,0
32,NoTag,37,Davimix,246.58,0.6198,94.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.1,0.0,0.0,1115380,0,0,0,0,0,0,0,153547,0,0
32,NoTag,38,Euhh,240.35,0.6042,102.58,0.0,0.0,0.0,132.28,0.0,0.0,0.0,0.0,0.0,5.48,1211023,0,0,0,87150,0,0,0,0,0,6105
32,NoTag,39,Andressa1maria,234.21,0.5887,95.9,0.0,0.0,0.0,138.31,0.0,0.0,0.0,0.0,0.0,0.0,1132114,0,0,0,91125,0,0,0,0,0,0
32,NoTag,40,xotinhadecoco,203.19,0.5107,57.42,0.0,0.0,0.0,0.0,0.0,145.76,0.0,0.0,0.0,0.0,677906,0,0,0,0,0,29447,0,0,0,0
32,NoTag,41,Cominhos,192.27,0.4833,192.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269749,0,0,0,0,0,0,0,0,0,0
32,NoTag,42,jairrodrigo,174.76,0.4393,174.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2063039,0,0,0,0,0,0,0,0,0,0
32,NoTag,43,BrGringBr,151.07,0.3797,151.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783395,0,0,0,0,0,0,0,0,0,0
32,NoTag,44,Chuckzerah,146.12,0.3673,146.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724936,0,0,0,0,0,0,0,0,0,0
